history;;
;;
name;short_title;title
TRADEDATE;Дата торгов;Дата торгов
SECID;Код инструмента;Идентификатор финансового инструмента
BOARDNAME;Режим торгов;Режим торгов
BOARDID;Код режима;Идентификатор режима торгов
SHORTNAME;Наименование;Краткое наименование
REGNUMBER;Код гос. регистрации;Код гос. регистрации
ISIN;Код ISIN;Код ISIN
LISTNAME;Уровень листинга;Уровень листинга
FACEVALUE;Номинал;Номинальная стоимость
CURRENCYID;Валюта;Валюта в которой ведутся торги
PREVLEGALCLOSEPRICE;Закр. пред. дня, руб.;Цена закрытия предыдущего торгового дня рублей
PREV;Пред. дня, руб;Цена последней сделки предыдущего торгового дня, рублей
LEGALOPENPRICE;Открытия, руб.;Цена открытия, рублей
OPENPERIOD;Цена предторг. пер., руб.;Цена предторгового периода, рублей
OPEN;Первая, руб.;Цена предторгового периода/Цена аукциона открытия, рублей
LOW;Минимум, руб.;Цена сделки минимальная, рублей
HIGH;Максимум, руб.;Цена сделки максимальная, рублей
CLOSE;Последняя, руб.;Цена последней сделки, рублей
CLOSEPERIOD;Цена послеторг. пер., руб.;Цена послеторгового периода, рублей
OPENVAL;Объем первой;Объем первой сделки
CLOSEVAL;Объем последней;Объем последней сделки
LEGALCLOSEPRICE;Закрытия, руб.;Цена закрытия, рублей
TRENDCLOSE;Изм. посл., пункт.;Изменение цены последней сделки к цене последней сделки предыдущего торгового дня, пунктов
TRENDCLSPR;Изм. посл., %;Изменение цены последней сделки к цене последней сделки предыдущего торгового дня, процентов
HIGHBID;Котировки за день, руб. - наиб. цена спроса;Наибольшая цена спроса (максимальная котировка на покупку), рублей
BID;Последние котировки, руб. - наиб. цена спроса;Цена спроса (котировка на покупку) на момент окончания торговой сессии, рублей
OFFER;Последние котировки, руб. - наим. цена предл.;Цена предложения (котировка на продажу) на момент окончания торговой сессии, рублей
LOWOFFER;Котировки за день, руб. - наим. цена предл.;Наименьшая цена предложения (минимальная котировка на продажу), рублей
WAPRICE;Срвзв. цена, руб.;Средневзвешенная цена, рублей
TRENDWAP;Изм. ср. вз., руб.;Изменение средневзвешенной цены к средневзвешенной цене предыдущего торгового дня, пунктов
TRENDWAPPR;Изм. ср. вз., %;Изменение средневзвешенной цены к средневзвешенной цене предыдущего торгового дня, процентов
VOLUME;Объем, шт.;Объем сделок за день, штук ценных бумаг
MARKETPRICE;Рыночная (1), руб. ;Рыночная цена (1), рублей
MARKETPRICE2;Рыночная (2), руб ;Рыночная цена (2), рублей
MP2VALTRD;Объем рыночной 2;Объем сделок для расчета рыночной цены (2), рублей
MPVALTRD;Объем рыночной 1;Объем сделок для расчета рыночной цены (1), рублей
VALUE;Объем, руб.;Объем сделок за день, рублей
NUMTRADES;Сделок, шт.;Количество сделок за день, штук
ISSUESIZE;Объем выпуска, шт;Объем выпуска, штук ценных бумаг
ADMITTEDQUOTE;Призн. котир., руб;Признаваемая котировка, рублей
ADMITTEDVALUE;Объем призн. котир.;Объем сделок для расчета признаваемой котировки, рублей
MONTHLYCAPITALIZATION;Ежемесячная капитализация, руб;Ежемесячная рыночная капитализация, руб
DAILYCAPITALIZATION;Капитализация, руб;Ежедневная капитализация, руб
MARKETPRICE3;Рыночная (3), руб. ;Рыночная цена (3), рублей
MARKETPRICE3TRADESVALUE;Объем сделок рыночной цены 3;Объем сделок (в рублях), по которым была рассчитана рыночная цена 3
DECIMALS;Точность;Точность, знаков после запятой
TYPE;Тип бумаги;Тип бумаги
CLOSEAUCTIONPRICE;Послеторговая, руб;Цена послеторгового аукциона, рублей
WAVAL;3-х месячный среднедневной оборот;3-х месячный среднедневной оборот по сделкам с паями
LASTPRICE;Последняя (без послеторгового периода/АЗ), руб.;Цена последней сделки (без учета послеторгового периода или аукциона закрытия), рублей
